-3811, -1621, -1068, 1742, 122, -377
-3856, -1714, -1082, 2414, 426, -605
-3929, -1777, -1060, 3096, 559, -540
-4022, -1829, -1020, 3404, 282, -610
-4110, -1866, -999, 3426, -102, -1019
-4157, -1917, -1012, 3517, -166, -1656
-4204, -1967, -1033, 3728, 115, -2247
-4267, -2013, -1047, 3869, 363, -2732
-4331, -2040, -1040, 3758, 443, -3399
-4397, -2065, -1034, 3301, 396, -4141
-4437, -2090, -1048, 2669, 409, -4722
-4452, -2148, -1077, 2052, 602, -5114
-4452, -2239, -1097, 1885, 1125, -5591
-4464, -2338, -1095, 1907, 1417, -6198
-4434, -2421, -1087, 1698, 1139, -7227
-4300, -2446, -1066, 1294, 1075, -7972
-4056, -2399, -1044, 774, 1380, -8266
-3712, -2250, -998, 611, 1534, -8721
-3290, -2017, -924, 670, 1657, -8807
-2874, -1753, -830, 403, 1749, -7608
-2487, -1524, -736, 75, 1279, -5495
-2153, -1385, -657, -437, 421, -3830
-1872, -1339, -621, -1531, -441, -3118
-1608, -1418, -642, -3288, -697, -3143
-1370, -1606, -736, -5056, -541, -3408
-1130, -1852, -881, -6052, -128, -3644
-909, -2093, -1056, -6872, 461, -3915
-762, -2359, -1278, -7793, 870, -4011
-699, -2763, -1609, -8806, 784, -4052
-644, -3296, -2079, -9713, 1725, -4550
-605, -3783, -2598, -9751, 3791, -5496
-560, -4129, -3063, -10836, 6124, -6501
-538, -4390, -3480, -11292, 8134, -6648
-536, -4537, -3779, -9978, 9801, -6193
-571, -4487, -3973, -9174, 10484, -5870
-595, -4374, -4065, -8203, 11118, -5030
-637, -4145, -4084, -7822, 11107, -4298
-711, -3782, -4057, -7880, 10959, -3316
-755, -3460, -4045, -9658, 9906, -2471
-802, -3249, -4017, -8939, 8756, -1461
-850, -3012, -4046, -6368, 7031, -308
-858, -2654, -4124, -7538, 6249, 206
-853, -2397, -4260, -10591, 5911, 141
-890, -2298, -4443, -11559, 5003, 218
-884, -2319, -4745, -9601, 3796, 579
-813, -2245, -5043, -7433, 5118, 1077
-743, -2129, -5295, -8098, 8113, 1386
-694, -2216, -5448, -8209, 10687, 1682
-547, -1589, -4441, -11284, 13590, -171
-1408, -2797, -3630, -18013, 11431, -10149
-1225, -2340, -3606, 2718, -2872, 367
-579, -2294, -4094, 1514, -1118, 3006
-216, -2291, -4104, 1002, 3337, -1179
20, -1702, -3918, 2422, 1711, -689
458, -1347, -3907, 2322, -266, 1948
746, -1214, -3916, 1938, 1621, 1556
866, -1107, -3861, 1487, 450, 1062
1024, -1033, -3880, 981, -306, 721
1159, -940, -3935, 527, -72, 283
1246, -875, -3994, 106, 271, 302
1306, -871, -4053, 0, 257, 286
1354, -886, -4110, -73, 19, 194
1417, -890, -4169, 125, -169, 69
1487, -863, -4232, 52, 48, 96
1548, -851, -4258, -52, 131, 144
1592, -861, -4266, -146, -4, 153
1614, -890, -4270, -127, -227, 48
1655, -885, -4280, -228, -366, -195
1695, -862, -4290, -286, -197, -173
1706, -853, -4298, -309, -104, -164
1713, -855, -4302, -246, -155, -230
1718, -837, -4304, -252, -162, -150
1713, -825, -4326, -305, -171, -85
1709, -833, -4345, -153, -51, -3
1696, -834, -4342, -103, -139, -96
