-4034, -843, -488, -1736, -742, -1051
-4164, -859, -391, -2111, -1288, -1674
-4350, -989, -316, -1705, -1817, -2113
-4593, -1165, -258, 456, -2829, -2831
-4842, -1327, -233, 2298, -3890, -3716
-5106, -1525, -223, 3672, -4931, -4866
-5346, -1632, -199, 4544, -5969, -6373
-5535, -1699, -150, 4827, -6874, -7176
-5724, -1794, -64, 5959, -8144, -7438
-5868, -1901, 73, 7669, -9679, -7352
-5946, -2022, 217, 9234, -11320, -6752
-5935, -2092, 397, 10004, -12855, -6394
-5782, -2030, 591, 9107, -14383, -6712
-5470, -1872, 757, 7139, -15483, -6272
-5177, -1904, 1023, 6702, -15169, -4634
-5027, -2132, 1447, 6710, -16021, -3946
-4858, -2409, 1838, 8165, -18321, -4077
-4602, -2453, 2158, 7834, -21613, -5380
-4182, -2354, 2331, 5805, -22587, -5754
-3715, -2179, 2356, 2930, -22931, -5807
-3205, -2111, 2268, 1847, -22582, -5859
-2840, -2115, 2211, 2427, -21339, -5925
-2403, -2107, 2047, 3262, -22108, -6641
-1964, -2015, 1801, 4257, -21403, -6280
-1444, -1887, 1590, 3850, -20479, -6771
-895, -1635, 1359, 2047, -20042, -8169
-221, -1361, 1096, 630, -19074, -9002
534, -1165, 861, 1401, -16668, -8777
1280, -1044, 748, 3985, -14082, -8463
1900, -889, 638, 6145, -13030, -8429
2439, -662, 496, 6354, -12418, -8257
2920, -443, 314, 5633, -11035, -7426
3335, -233, 96, 4230, -9635, -6586
3699, -19, -162, 2097, -8539, -6308
4013, 179, -427, 223, -6689, -6551
4255, 342, -701, -562, -4943, -6146
4421, 468, -960, -64, -3468, -5134
4492, 546, -1188, 925, -2006, -4020
4475, 497, -1395, 2874, -990, -2767
4433, 455, -1557, 4753, -71, -2340
4383, 552, -1636, 4608, 1550, -2577
4312, 752, -1648, 2180, 4267, -2109
4260, 931, -1608, -985, 6867, -720
4158, 1047, -1521, -4239, 9287, 564
3890, 977, -1365, -5919, 10706, 1514
3535, 680, -1210, -3444, 11250, 2605
3158, 392, -1041, 1007, 12075, 2279
2723, 324, -807, 1674, 12872, 601
2199, 380, -523, -850, 13349, -1042
1700, 435, -264, -2787, 13719, -515
1312, 491, 34, -2377, 13866, 2021
829, 484, 426, -3066, 14143, 3829
355, 392, 833, -4514, 12860, 2494
11, 333, 1223, -5728, 9067, 719
-99, 254, 1530, -5776, 6712, 1286
-107, 106, 1783, -4621, 7394, 2329
-143, -69, 2063, -2336, 8337, 2426
-213, -97, 2418, -1436, 8114, 1581
-302, -43, 2802, -1777, 6785, 1000
-358, 0, 3146, -2024, 4771, 730
-328, 27, 3435, -1602, 4603, 852
-314, 25, 3693, -1521, 4555, 1065
-347, -30, 3945, -1178, 4119, 597
-357, -34, 4191, -706, 2815, -14
-309, 38, 4410, -620, 1962, -187
-269, 85, 4554, -877, 1493, 173
-214, 36, 4643, -800, 1306, 183
-150, 4, 4738, -511, 1284, -408
-116, 16, 4818, -251, 623, -352
-59, 16, 4830, 93, -11, -159
31, 6, 4786, 84, -267, -140
110, 0, 4696, -161, -279, -320
164, -30, 4576, -169, -307, -257
227, -69, 4445, 318, -342, -280
280, -50, 4339, 383, -188, -240
