-3756, -1370, -1071, 1574, -153, 58
-3791, -1385, -1069, 1841, -92, -65
-3841, -1420, -1067, 2260, -8, -184
-3920, -1488, -1049, 3038, -172, -326
-3996, -1555, -1015, 3847, -568, -677
-4049, -1612, -991, 4336, -776, -1002
-4115, -1690, -975, 4497, -781, -1499
-4192, -1770, -955, 4874, -958, -1984
-4272, -1823, -919, 5024, -1177, -2500
-4346, -1875, -870, 4922, -1558, -2937
-4394, -1940, -823, 4801, -2121, -3460
-4412, -2001, -774, 4856, -2499, -3830
-4416, -2041, -715, 4938, -2528, -4117
-4399, -2066, -644, 4909, -2736, -4220
-4373, -2082, -569, 4742, -3060, -4246
-4394, -2143, -511, 4559, -3423, -4123
-4468, -2313, -431, 4813, -3759, -4188
-4587, -2561, -292, 5682, -4533, -4732
-4625, -2661, -128, 6099, -5824, -5895
-4613, -2694, 104, 4826, -6436, -6634
-4622, -2856, 405, 3524, -7417, -7480
-4541, -3025, 695, 3142, -9327, -8615
-4267, -3074, 960, 2464, -10570, -9594
-4003, -3159, 1251, 1585, -11090, -10473
-3741, -3333, 1533, 1493, -12194, -11525
-3475, -3506, 1771, 2091, -13541, -12635
-3217, -3636, 1999, 2246, -14365, -13780
-3014, -3707, 2144, 1966, -15342, -15508
-2649, -3593, 2120, 696, -16275, -17623
-2292, -3497, 1971, -407, -14869, -18896
-1976, -3446, 1782, 397, -14035, -20832
-1620, -3298, 1544, 3665, -13485, -21856
-1224, -2969, 1280, 6622, -13013, -20737
-729, -2555, 1023, 8168, -12828, -19163
-141, -2133, 809, 9079, -11411, -17491
408, -1614, 645, 8796, -10201, -16157
973, -1044, 489, 6943, -9830, -13621
1570, -618, 342, 4721, -8871, -10765
2111, -346, 178, 3508, -6764, -8956
2560, -102, 25, 3136, -4661, -7571
2949, 107, -66, 3155, -3051, -6124
3264, 290, -109, 3864, -1640, -4517
3488, 481, -148, 3100, -138, -2311
3683, 571, -157, 2011, 811, -112
3853, 556, -204, 1850, 2775, 1488
3877, 499, -265, 2634, 4181, 3261
3764, 408, -249, 3725, 5053, 4597
3561, 311, -139, 4187, 5428, 4237
3382, 332, -67, 3238, 5013, 3549
3300, 390, -51, 1730, 5393, 4548
3225, 377, -89, 610, 7470, 6861
2928, 130, -18, -625, 9430, 7688
2394, -213, 223, -1273, 9524, 5062
2019, -469, 427, -969, 8325, 2485
1915, -581, 514, 1932, 7948, 4262
1791, -587, 641, 3121, 10822, 7998
1193, -717, 1018, 1219, 13337, 7521
619, -833, 1446, -283, 11618, 4781
309, -910, 1802, 272, 9201, 5311
67, -1017, 2150, 1228, 8723, 7196
-227, -1196, 2519, 328, 8603, 6303
-454, -1416, 2882, -535, 7096, 4210
-568, -1583, 3271, 440, 5381, 3205
-624, -1634, 3612, 1692, 3623, 3075
-643, -1614, 3820, 1236, 2226, 2542
-525, -1645, 3918, 177, 2145, 1543
-439, -1680, 3989, 186, 2200, 786
-372, -1704, 4040, 804, 1459, 414
-285, -1671, 4057, 1286, 981, 94
-181, -1583, 4046, 1208, 708, -42
-70, -1498, 4022, 750, 619, 45
-4, -1427, 4004, 144, 679, -27
49, -1390, 3958, -383, 335, -170
114, -1423, 3871, -178, 186, -230
182, -1446, 3791, 570, 332, -236
