-4442, -1075, -161, 1647, -1110, -1427
-4724, -1227, -57, 3288, -1886, -2147
-5015, -1370, 32, 5165, -2993, -2805
-5340, -1494, 142, 6859, -4264, -3317
-5650, -1554, 242, 7822, -6168, -4124
-5837, -1536, 316, 7719, -8023, -5111
-5891, -1490, 351, 7043, -9128, -5862
-5884, -1471, 398, 6905, -9365, -5874
-5780, -1424, 471, 6805, -9804, -5660
-5592, -1375, 559, 6522, -10265, -5266
-5323, -1323, 654, 6322, -10459, -4602
-4991, -1272, 761, 5624, -10451, -4198
-4644, -1222, 867, 4674, -10351, -3702
-4301, -1221, 969, 4040, -9950, -3185
-3943, -1196, 1098, 3457, -8467, -2639
-3657, -1278, 1218, 2628, -8878, -2493
-3498, -1430, 1354, 3969, -8641, -2008
-3347, -1538, 1509, 5684, -9446, -1946
-3220, -1604, 1703, 6711, -9982, -1662
-3156, -1669, 1974, 7035, -11233, -1715
-3107, -1744, 2241, 6573, -13126, -2012
-3005, -1764, 2488, 5978, -14715, -1740
-2765, -1674, 2584, 3753, -16216, -1967
-2560, -1567, 2781, 2325, -15985, -2815
-2332, -1400, 2940, -177, -17625, -4131
-2016, -1281, 2953, -2902, -20499, -5731
-1566, -1194, 2788, -4298, -22637, -8294
-933, -1148, 2514, -3161, -23028, -10934
-199, -1031, 2281, 787, -21016, -11476
521, -774, 2095, 4399, -18772, -10480
1178, -510, 1961, 6651, -17450, -9073
1687, -333, 1834, 7855, -17067, -7318
2182, -292, 1646, 7947, -16978, -6038
2646, -256, 1346, 6879, -16322, -6303
3025, -98, 976, 4101, -14916, -7770
3392, 139, 541, 573, -13338, -8766
3719, 383, 82, -1231, -11100, -8113
3995, 570, -368, -913, -8616, -6543
4187, 687, -775, 1013, -6074, -4625
4299, 833, -1128, 2691, -3477, -3004
4369, 1033, -1402, 2338, -738, -1936
4322, 1216, -1622, 549, 2076, -1036
4180, 1258, -1796, 77, 4211, 270
3943, 1172, -1897, 1525, 6232, 1892
3648, 1064, -1887, 2901, 6775, 2430
3345, 980, -1759, 2906, 7294, 2293
3037, 876, -1517, 1535, 7710, 1475
2730, 740, -1233, 1336, 8527, 1518
2423, 628, -918, 2131, 8535, 2058
2088, 591, -547, 1696, 8184, 1936
1757, 522, -147, -204, 7634, 1120
1516, 446, 235, -1811, 7277, 573
1358, 386, 560, -3366, 7813, 112
1248, 304, 819, -3475, 9029, -23
1167, 271, 1073, -1975, 10007, 363
1086, 359, 1374, -1418, 10753, 879
948, 502, 1734, -2923, 10698, 830
827, 610, 2031, -4294, 10065, 810
773, 609, 2265, -4100, 10360, 1612
622, 489, 2610, -2565, 11133, 2249
385, 401, 3069, -1351, 10479, 1580
238, 408, 3520, -1860, 9096, 1004
138, 432, 3939, -3172, 8492, 991
58, 411, 4242, -4447, 7306, 707
30, 304, 4423, -3953, 5941, 461
27, 211, 4522, -1905, 4627, 92
52, 243, 4551, -767, 3786, -74
112, 321, 4526, -1019, 3672, 241
171, 362, 4461, -1971, 4404, 573
189, 334, 4383, -2731, 5347, 499
113, 256, 4336, -2197, 5450, 191
23, 214, 4371, -670, 4059, 192
-34, 221, 4425, 120, 2284, 678
-50, 212, 4439, -237, 1095, 767
-38, 154, 4409, -685, 632, 710
